customer_id,first_name,last_name,gender,age,email,phone,city,state,country,signup_date,customer_segment,annual_income,marital_status,occupation,loyalty_points,is_active
28,Nidhi,Gandhi,Male,45,ndatta@example.net,+916990162720,Nadiad,Karnataka,India,2023-05-15,GOld,1368303,Married,Business,1235,False
29,Suhani,Narain,Male,21,ladli46@example.com,+917080531003,Jaipur,Punjab,India,2022-11-12,Premium,591172,Single,Teacher,6658,False
30,William,Date,Female,31,kcontractor@example.org,04529912419,Bijapur,Odisha,India,2024-10-05,Regular,445934,Single,Designer,35,False
31,Mekhala,Issac,Female,68,kibeharsh@example.net,09190586518,Ahmedabad,West Bengal,India,2025-02-21,Regular,1396421,Married,Data Analyst,7973,True
32,Vrishti,Cherian,Male,36,opathak@example.com,2628498776,North Dumdum,West Bengal,India,2023-08-28,GOld,445296,Single,Lawyer,936,True
33,Gabriel,Mallick,Female,50,wkohli@example.com,9650752735,Mau,Himachal Pradesh,India,2023-12-02,GOld,438570,Single,Teacher,1122,True
34,Advaith,Varughese,Male,43,frederickkhurana@example.net,07837770143,Latur,Jharkhand,India,2026-07-07,Premium,2589391,Single,Accountant,9740,True
35,Jyoti,Solanki,Male,44,pavani85@example.com,7444313518,Nellore,Gujarat,India,2025-09-08,Silver,1293730,Single,Lawyer,3910,False
36,Aradhana,Vohra,Female,26,harish34@example.org,02408240084,Pallavaram,Bihar,India,2021-09-03,Silver,2117738,Married,Doctor,152,False
37,Bhavani,Singh,Male,22,vsastry@example.org,+914711671902,Phusro,Jharkhand,India,2022-04-17,GOld,2321834,Married,Teacher,5718,True
38,Yuvraj,Dani,Male,41,xkara@example.net,07749649909,Dhule,Rajasthan,India,2023-05-13,Silver,861638,Married,Data Analyst,4956,True
39,Aishani,Bumb,Female,60,wriddhishghose@example.net,+912067974034,Malda,Assam,India,2023-07-22,Premium,763257,Married,Doctor,1753,True
40,Aishani,Hora,Female,36,icontractor@example.org,2421024994,Amravati,Manipur,India,2024-02-26,GOld,1638144,Single,Student,8280,False
41,Neha,Magar,Female,21,fsarma@example.net,+916594013990,Gangtok,Arunachal Pradesh,India,2023-01-22,Premium,2860381,Married,Student,722,True
42,Upma,Venkataraman,Female,67,lmall@example.net,07175655125,Shimla,Jharkhand,India,2024-12-22,GOld,2872247,Married,Teacher,7239,False
43,Balhaar,Sha,Male,25,murtyzayyan@example.com,+916808760385,Mango,Tripura,India,2022-01-03,Premium,825178,Single,Lawyer,9543,True
44,Samar,Loke,Female,26,bhavnasarma@example.net,01093248086,Kamarhati,Uttarakhand,India,2022-07-14,Premium,1492929,Married,Software Engineer,5862,True
45,Triya,Dalal,Male,60,wishimanne@example.net,4677378263,Coimbatore,Himachal Pradesh,India,2025-02-05,Premium,1683435,Married,Accountant,2532,True
46,Harini,Tripathi,Male,69,aarnav44@example.net,7278755886,Pondicherry,West Bengal,India,2023-03-05,GOld,1929288,Single,Teacher,5442,False
47,William,Rajagopal,Male,35,nirjabassi@example.com,7662702895,Gandhidham,Bihar,India,2026-01-16,GOld,653385,Married,Software Engineer,7711,True
48,Tanmayi,Aurora,Male,70,nimratdubey@example.org,04596158657,Tadipatri,Assam,India,2023-07-26,Regular,1666573,Married,Business,3652,True
49,Bhavna,Karan,Male,43,sarafguneet@example.net,1724005045,Chinsurah,Chhattisgarh,India,2023-08-24,Silver,1368545,Single,Student,5753,False
50,Nisha,Gole,Female,19,parthbrar@example.net,09379237474,Kirari Suleman Nagar,Jharkhand,India,2026-03-21,Premium,1295615,Single,Accountant,4349,True
51,Nakul,Borah,Male,56,lpai@example.com,6474367136,Ramgarh,Jharkhand,India,2024-01-30,Regular,1649916,Married,Designer,9932,True
52,Anthony,Randhawa,Female,54,abhiram90@example.net,7439533942,Thane,Jharkhand,India,2025-04-26,GOld,1268383,Single,Designer,27,True
53,Bahadurjit,Patla,Female,45,gautammerchant@example.com,6232858842,Ongole,Uttar Pradesh,India,2024-01-29,Premium,2986014,Married,Accountant,5143,True
54,Hamsini,Contractor,Female,50,jborra@example.org,6851604817,Firozabad,Odisha,India,2024-10-22,Silver,2997151,Married,Lawyer,6592,False
55,Kamya,Chokshi,Male,30,urishillabakshi@example.net,5931746120,Avadi,Meghalaya,India,2022-07-22,Regular,2988916,Married,Teacher,9324,False
56,Gunbir,Keer,Female,53,lipikasetty@example.com,8692617964,Uluberia,Gujarat,India,2025-05-04,Premium,1474543,Married,Business,7043,False
57,Sai,Keer,Female,46,hardik58@example.net,00643171390,Thoothukudi,Haryana,India,2022-08-22,Regular,1096328,Married,Teacher,1389,False
58,Samesh,Biswas,Female,23,tarakkaul@example.com,+919042284210,Kanpur,Kerala,India,2023-08-05,GOld,1501993,Single,Business,2414,True
59,Ekiya,Babu,Male,33,alkaben@example.org,6811775891,Ambala,Haryana,India,2021-12-08,Regular,2763868,Single,Manager,6790,True
60,Charvi,Shanker,Female,49,bhatvarenya@example.com,01771159212,Bhimavaram,Nagaland,India,2024-05-02,Regular,1223344,Single,Software Engineer,1746,False
61,Lakshmi,Wali,Male,29,sudiksha89@example.com,+911836736576,Bareilly,Karnataka,India,2025-03-13,Regular,410631,Single,Doctor,7478,True
62,Dhriti,Kumer,Female,60,michael71@example.org,+911615280988,Bhilai,Maharashtra,India,2024-07-29,Silver,2056287,Married,Data Analyst,7305,True
63,Pallavi,Behl,Female,46,devika51@example.net,3273158514,Haldia,West Bengal,India,2026-05-04,Silver,1236998,Married,Data Analyst,7939,True
64,Atharv,Loke,Female,46,goleanjali@example.net,05502296120,Bettiah,Gujarat,India,2024-10-07,Premium,1398430,Single,Student,5502,False
65,Oni,Setty,Male,26,nakul54@example.net,09910229014,Khandwa,Meghalaya,India,2025-04-30,GOld,1169980,Married,Teacher,3505,True
66,Oeshi,Mahajan,Female,44,yauvanicomar@example.com,01497840369,Chennai,Gujarat,India,2024-02-18,Silver,2475876,Married,Designer,1020,True
67,Siddharth,Devan,Female,42,bimala51@example.org,06226838851,Kalyan-Dombivli,Maharashtra,India,2021-09-23,Premium,2614620,Married,Manager,96,False
68,Tripti,Brahmbhatt,Female,66,pushti96@example.net,6416052975,Junagadh,West Bengal,India,2022-06-20,Regular,1957502,Single,Manager,3595,False
69,Yagnesh,Sarin,Female,49,fviswanathan@example.com,05352181883,Etawah,Telangana,India,2022-10-28,Premium,1830985,Married,Designer,2704,False
70,Warinder,Chauhan,Male,57,aahanahora@example.org,2127799799,Satna,Chhattisgarh,India,2025-04-23,Premium,1852640,Single,Doctor,7022,True
71,Ekansh,Singh,Female,29,ymitter@example.com,0581477005,Solapur,Rajasthan,India,2022-05-03,Premium,1291174,Married,Lawyer,3467,False
72,Yashica,Rajagopalan,Female,39,cbarman@example.net,3597820715,Dibrugarh,Rajasthan,India,2023-01-14,Regular,1367092,Married,Student,1341,False
73,Balveer,Kota,Male,65,hsarna@example.net,2554665905,Ozhukarai,Bihar,India,2026-04-25,Premium,1667840,Single,Doctor,659,True
74,Libni,Mander,Male,30,mason51@example.net,2546291486,Warangal,Sikkim,India,2026-01-17,Premium,2806070,Single,Business,2068,False
75,Girik,Sampath,Male,54,andrew54@example.org,+915733221418,Naihati,Tripura,India,2022-09-07,GOld,2150493,Married,Lawyer,2749,True
76,Krisha,Dube,Male,37,pratyushgandhi@example.net,00653794738,Tirupati,Uttar Pradesh,India,2025-07-23,Premium,2627179,Single,Student,9433,False
77,Rishi,Pillai,Female,63,xshenoy@example.com,08862392407,Begusarai,Bihar,India,2025-12-15,GOld,518752,Single,Doctor,4941,True
78,Jeet,Mane,Male,40,dyalanjali@example.com,2613750606,Noida,Madhya Pradesh,India,2022-04-06,Regular,2974621,Married,Doctor,8289,False
79,Kavya,Kapur,Male,44,nagarhardik@example.net,5220472779,Vijayawada,Andhra Pradesh,India,2023-09-30,Regular,642662,Married,Lawyer,7532,True
80,Tanveer,Doctor,Female,29,xchoudhry@example.com,+914103697117,Kottayam,Odisha,India,2023-08-17,Silver,2783323,Married,Manager,7136,False
81,Maanas,Manne,Female,33,nagarwal@example.com,+919621851888,Pali,West Bengal,India,2025-07-26,Premium,1369909,Married,Business,7613,False
82,Caleb,Ram,Female,19,zehaan05@example.org,03195205852,Nangloi Jat,Rajasthan,India,2023-02-13,Regular,1563208,Single,Manager,3475,False
83,Krishna,Bhatnagar,Female,39,sbansal@example.org,+913054868740,Baranagar,Kerala,India,2021-12-22,Silver,2700455,Married,Data Analyst,166,True
84,Garima,Mahajan,Male,33,pillairajeshri@example.com,7652775841,Vijayawada,Maharashtra,India,2023-02-07,Regular,2249244,Single,Manager,8041,False
85,Chaaya,Nagi,Male,23,buchfalak@example.net,04796275705,Panipat,Rajasthan,India,2022-01-21,Silver,1129442,Married,Business,5016,False
86,Falan,Ravi,Female,53,yochana20@example.org,7021355690,Hospet,Kerala,India,2024-09-24,Silver,1984692,Married,Lawyer,7434,False
87,Sachi,Bose,Female,34,jeevikarao@example.com,4310278681,Bhilwara,Tamil Nadu,India,2025-05-13,GOld,706067,Single,Lawyer,1958,True
88,Tanish,Mangal,Male,31,hiyengar@example.org,+917271551884,Sangli-Miraj & Kupwad,Tamil Nadu,India,2023-01-18,Regular,1359723,Married,Doctor,3180,False
89,Janaki,Trivedi,Male,41,jairajiyer@example.org,+917058957829,Amritsar,Jharkhand,India,2024-12-15,GOld,1467802,Single,Data Analyst,2073,False
90,Varenya,Vora,Male,21,krout@example.org,+915177852892,Bhiwani,Mizoram,India,2022-01-15,Silver,729654,Married,Doctor,200,False
91,Jeet,Vasa,Female,48,dakshagala@example.org,03584143842,Srikakulam,Nagaland,India,2022-05-13,Regular,1629024,Single,Software Engineer,4136,False
92,Yadavi,Ganguly,Male,70,onveernazareth@example.net,+910109439690,Bongaigaon,Jharkhand,India,2024-02-20,Premium,1880688,Married,Doctor,9453,True
93,Vasudha,Konda,Male,27,dmishra@example.org,0276773592,Imphal,Telangana,India,2024-07-04,Silver,557274,Single,Doctor,9143,False
94,Mohini,De,Male,67,yutika81@example.com,+917147321046,Kulti,West Bengal,India,2022-12-05,Regular,2089594,Married,Student,9642,False
95,Falak,Munshi,Female,54,nathanieltara@example.net,07470168733,Nashik,Arunachal Pradesh,India,2023-12-18,Premium,2756977,Single,Business,3457,False
96,Warda,Singhal,Male,28,abhiram16@example.org,05650609835,Srinagar,Madhya Pradesh,India,2025-11-09,GOld,929026,Single,Teacher,43,False
97,Shravya,Mammen,Female,62,davegunbir@example.com,05852398680,Agra,Chhattisgarh,India,2024-05-26,Regular,1421630,Single,Business,4720,False
98,Urvi,Venkataraman,Female,22,mdixit@example.net,+915952694958,Phusro,Jharkhand,India,2025-08-10,GOld,1309622,Single,Designer,1880,True
99,Anay,Pillay,Male,35,imaran69@example.com,0974993097,Loni,Rajasthan,India,2024-10-20,GOld,499514,Single,Teacher,5039,False
100,Manbir,Kibe,Female,25,choudharyrayaan@example.org,05626368970,Kadapa,Gujarat,India,2026-05-04,Regular,1475450,Married,Student,8199,False
101,Ekta,Sridhar,Female,23,lmurthy@example.com,5854973348,Kamarhati,Jharkhand,India,2024-01-10,Premium,2012059,Married,Accountant,4102,True
102,Sarthak,Suresh,Male,32,varsha58@example.net,04198665240,Vijayawada,Kerala,India,2025-05-01,Premium,1330411,Single,Teacher,7708,False
103,Aahana,Srinivas,Female,29,sakshamyohannan@example.com,4219933083,Faridabad,Bihar,India,2025-01-31,Regular,2862480,Married,Doctor,7700,False
104,Ganga,Sodhi,Female,39,devanabdul@example.net,+916773454019,Deoghar,Telangana,India,2021-11-19,Silver,638723,Single,Lawyer,6744,False
105,Parth,Sahni,Female,60,balhaarranganathan@example.com,+914004991547,Guntur,West Bengal,India,2025-11-09,Regular,2507272,Single,Manager,1442,False
106,Upadhriti,Mahajan,Female,38,isaiahnarayanan@example.org,7420549329,Purnia,Mizoram,India,2024-05-10,Premium,1895233,Single,Data Analyst,7569,False
107,Gabriel,Rattan,Male,30,goyallogan@example.com,03046374549,Bhilwara,Rajasthan,India,2024-08-17,Silver,2811515,Married,Manager,845,True
108,Warinder,Bhatia,Female,53,shroffdamyanti@example.org,08414593327,Malda,Telangana,India,2024-09-29,GOld,1408081,Married,Manager,1989,True
109,Ojasvi,Sinha,Male,63,yugbumb@example.net,08519108839,Dehradun,Karnataka,India,2025-12-29,GOld,1503380,Single,Data Analyst,6684,True
110,Riya,Dada,Male,25,vrindachand@example.net,00728679087,Lucknow,Madhya Pradesh,India,2023-09-25,Regular,692688,Single,Manager,4781,False
111,Aarush,Kamdar,Female,48,bathpallavi@example.com,1801704622,Dindigul,Madhya Pradesh,India,2025-05-20,Regular,1222281,Married,Data Analyst,2369,False
112,Krishna,Prashad,Male,56,zachariakiaan@example.net,01286823004,Tinsukia,Maharashtra,India,2026-02-03,GOld,492804,Married,Designer,5568,False
113,Ladli,Karpe,Male,36,trivenipal@example.org,03106903311,Amroha,Punjab,India,2021-12-25,Silver,2661795,Married,Teacher,7316,False
114,Yash,Basu,Female,39,osarna@example.net,+910284395995,Barasat,Chhattisgarh,India,2026-01-01,Regular,2109853,Married,Business,3912,False
115,Timothy,Sachdev,Male,67,anvi08@example.net,2687056856,Jalgaon,Jharkhand,India,2024-10-08,Regular,383070,Married,Manager,6246,False
116,Qarin,Yogi,Male,49,okhosla@example.com,2708668826,Rohtak,Gujarat,India,2024-05-18,Premium,729515,Married,Doctor,7213,True
117,Farhan,Sengupta,Female,18,george83@example.org,06990139837,Thoothukudi,Jharkhand,India,2021-09-12,GOld,1919574,Single,Doctor,7692,False
118,Siddharth,Gupta,Female,57,srinivasxavier@example.net,3638546785,Bhilwara,Kerala,India,2025-12-06,Regular,2925612,Single,Lawyer,8742,False
119,Widisha,Shukla,Female,58,singhekaja@example.org,05609320489,Sagar,Chhattisgarh,India,2023-03-28,Regular,2469185,Single,Accountant,1121,True
120,Forum,Karpe,Female,32,fkorpal@example.net,5477725228,Udaipur,Nagaland,India,2022-01-25,Premium,2020208,Single,Doctor,7269,True
121,Bahadurjit,Borde,Female,19,ahujanitara@example.org,3120387509,Morbi,Andhra Pradesh,India,2021-08-16,Premium,1560525,Single,Student,5873,False
122,Nisha,Arora,Female,27,wagleanvi@example.net,00862118233,Raichur,Himachal Pradesh,India,2024-12-11,GOld,2427873,Married,Accountant,2950,True
123,Farhan,Prakash,Male,23,ksharaf@example.org,3410166687,Bangalore,Tamil Nadu,India,2023-01-10,Regular,2799253,Single,Manager,9554,True
124,Fitan,Tata,Male,47,knarula@example.org,0339740148,Mangalore,West Bengal,India,2024-03-30,Silver,2127578,Married,Software Engineer,7622,False
125,Amol,Johal,Male,22,mitalibose@example.com,+919396856218,Meerut,Bihar,India,2025-04-14,Regular,1649407,Married,Designer,4097,False
126,Vincent,Borra,Female,30,mekhala50@example.net,07735866296,Tadipatri,Jharkhand,India,2023-08-31,Regular,2226721,Single,Business,6248,False
127,Ethan,Butala,Female,62,mitesh62@example.net,05511047541,Chandigarh,Goa,India,2025-03-27,Silver,292021,Married,Student,132,True
128,Saumya,Vala,Female,36,bchauhan@example.org,08199560466,Karaikudi,Haryana,India,2026-06-08,GOld,2746215,Married,Business,3115,False
129,Omkaar,Rai,Male,58,liamluthra@example.com,07212646471,Chandrapur,Haryana,India,2025-10-14,Premium,2831750,Single,Student,7222,True
130,Rohan,Shankar,Female,64,deshmukhdaksha@example.org,05965756924,Madanapalle,Tamil Nadu,India,2023-04-12,GOld,578046,Married,Lawyer,6807,True
131,Varenya,Murthy,Male,26,mitalinagar@example.com,7935646519,Guntakal,Nagaland,India,2023-02-06,Silver,2426556,Married,Teacher,4210,False
132,Avi,Shenoy,Female,65,rakshamanne@example.net,+916724342661,Khora ,Meghalaya,India,2026-07-09,Silver,683056,Married,Doctor,2306,True
133,Nandini,Warrior,Female,69,ybansal@example.com,8911352909,Bathinda,Uttar Pradesh,India,2025-03-25,Silver,578757,Married,Software Engineer,4332,True
134,Hitesh,Anne,Female,41,kuruvillatristan@example.net,8899375679,Hapur,Andhra Pradesh,India,2025-09-03,Silver,2651822,Married,Lawyer,1775,True
135,Henry,Merchant,Female,19,hchada@example.net,+915457387571,Bidhannagar,Karnataka,India,2022-02-20,Silver,2758870,Single,Doctor,7606,False
136,Charita,Basu,Female,25,bajajhemal@example.net,+912382825867,Machilipatnam,Rajasthan,India,2023-02-20,GOld,390198,Single,Student,8071,True
137,Quincy,Sankaran,Male,33,vbalakrishnan@example.net,+917966033419,Jorhat,Goa,India,2024-09-05,GOld,1830098,Married,Lawyer,8850,False
138,Eshana,Hegde,Male,44,qcomar@example.net,08596969155,Tadipatri,Goa,India,2024-02-06,Premium,2252470,Married,Student,536,False
139,Frado,Desai,Male,46,jacob34@example.org,+915286692966,Morbi,Rajasthan,India,2026-02-20,Regular,1190328,Married,Doctor,6018,False
140,Oscar,Ganesan,Male,43,imani@example.org,07905072368,Alappuzha,Sikkim,India,2025-10-01,Silver,996114,Single,Manager,1501,True
141,Ojasvi,Sawhney,Male,21,fganesh@example.net,+913404384279,Jamalpur,Mizoram,India,2022-07-13,Silver,1221601,Single,Accountant,3362,True
142,Ishaan,Loyal,Male,55,benjamin78@example.org,01340745171,Bhagalpur,Uttar Pradesh,India,2026-07-27,GOld,1177267,Married,Teacher,9764,True
143,Indali,Sangha,Female,27,liamjhaveri@example.org,+919584982544,Kottayam,Sikkim,India,2022-05-18,GOld,2465827,Married,Teacher,1801,True
144,Krishna,Sabharwal,Male,18,malhotrajonathan@example.net,+913253672946,Bidhannagar,Assam,India,2022-05-12,Silver,1197957,Married,Software Engineer,2854,False
145,Neha,Varma,Male,26,jyoti77@example.com,0175186363,Agartala,Karnataka,India,2023-12-25,Regular,2406562,Single,Doctor,7802,False
146,Geetika,De,Female,50,roza@example.org,+911701277063,Barasat,Goa,India,2023-11-25,Premium,2095848,Single,Accountant,710,False
147,Girik,Patel,Female,59,fitan52@example.org,04361103712,Kadapa,Sikkim,India,2025-05-09,Premium,455120,Married,Designer,6984,True
148,Aditya,Anand,Female,63,jai62@example.com,+913611155426,Asansol,Assam,India,2026-01-30,Regular,508242,Single,Lawyer,9966,True
149,Abhiram,Gala,Male,26,upanchal@example.org,2697311219,Etawah,Maharashtra,India,2024-03-30,Silver,2818577,Married,Designer,9787,False
150,Logan,Kota,Female,50,frado38@example.net,9404389836,Meerut,Uttar Pradesh,India,2023-08-09,Regular,615984,Single,Data Analyst,3522,False
151,Warda,Raju,Female,32,khoslaxalak@example.net,1805526965,Chittoor,Tripura,India,2022-03-10,Regular,1621582,Married,Designer,6815,True
152,Anay,Bir,Female,45,lalatanveer@example.org,+916848666188,Alwar,Assam,India,2024-03-15,Silver,2989664,Married,Lawyer,2500,False
153,Farhan,Vaidya,Male,23,nachiketyadav@example.com,09146303161,Pudukkottai,Punjab,India,2022-01-13,Premium,591035,Married,Doctor,6105,True
154,Dayamai,Gill,Male,55,aroralaksh@example.net,+912758842524,Ludhiana,Karnataka,India,2025-03-21,Silver,712675,Married,Lawyer,6929,True
155,Anita,Viswanathan,Female,56,lallfaraj@example.com,08507925241,Ambattur,Telangana,India,2025-11-23,Silver,1674911,Single,Accountant,8313,True
156,Aarnav,Basu,Male,60,kondachakradhar@example.com,06220863536,Gopalpur,Uttarakhand,India,2022-03-25,Regular,1140551,Single,Lawyer,9113,False
157,Kashish,Dar,Male,66,golaudant@example.net,+916174451870,Kollam,Jharkhand,India,2026-05-13,Silver,2607949,Single,Designer,9190,True
158,Daksha,Kibe,Female,19,lpillay@example.com,+918320603850,Mumbai,Tripura,India,2024-10-08,GOld,1346179,Married,Lawyer,5751,True
159,Damyanti,Chawla,Male,27,wazirsaini@example.com,+912410386571,Dibrugarh,Chhattisgarh,India,2024-12-03,Regular,491862,Single,Software Engineer,1503,True
160,Falan,Bhatia,Female,44,pde@example.com,05655743132,Bhatpara,Bihar,India,2022-12-19,Regular,1629821,Single,Lawyer,5105,False
161,Shivani,Shukla,Male,21,niharika18@example.com,+917474112490,Khammam,Chhattisgarh,India,2022-05-06,GOld,860224,Single,Doctor,4458,False
162,Yuvraj,Parekh,Female,49,dvarghese@example.net,04206788317,Kolhapur,Bihar,India,2021-09-02,Regular,1937212,Married,Business,8394,True
163,David,Kapadia,Female,45,rudrarattan@example.com,1994101372,Bathinda,Bihar,India,2021-12-06,Premium,1388021,Married,Data Analyst,5053,True
164,Triya,Bedi,Male,43,rachitarana@example.com,+916625324472,Srikakulam,Punjab,India,2023-08-29,Premium,232241,Single,Student,3460,True
165,Chakrika,Tara,Female,36,dsrinivas@example.org,06263838065,Tinsukia,Uttar Pradesh,India,2025-09-09,Silver,703250,Single,Manager,7055,True
166,Hemangini,Thakkar,Male,42,lipika42@example.org,09304078593,Salem,Haryana,India,2023-08-15,GOld,2298252,Married,Doctor,6505,True
167,Amaira,Walla,Female,19,kandalipika@example.com,+912395590599,Phusro,Gujarat,India,2025-10-03,Regular,526579,Married,Accountant,7033,False
168,Dayamai,Gill,Female,36,fbarad@example.org,+919308705932,Belgaum,Uttar Pradesh,India,2024-04-27,Premium,1898828,Single,Lawyer,2815,False
169,Daniel,Bains,Female,23,luckychoudhry@example.net,01569154522,Morbi,Rajasthan,India,2024-04-07,Regular,644022,Single,Designer,9648,False
170,Owen,Parikh,Male,43,parthradhakrishnan@example.com,4220969029,Pudukkottai,Haryana,India,2026-05-19,Silver,1624021,Single,Lawyer,2754,True
171,Hemang,Taneja,Male,51,garimabrahmbhatt@example.org,05215704331,Bardhaman,Uttar Pradesh,India,2022-06-27,GOld,1665386,Married,Teacher,3871,True
172,Aarav,Bava,Male,34,usarma@example.com,+916765861793,Bidhannagar,Assam,India,2021-11-07,GOld,927707,Single,Doctor,2902,False
173,Chaitaly,Bahri,Female,66,advika11@example.com,+916218159970,Dehradun,Punjab,India,2025-04-06,Regular,2567650,Married,Lawyer,2473,False
174,Naksh,Bera,Male,48,narulasamesh@example.org,08844431069,Jamnagar,Arunachal Pradesh,India,2024-08-21,Regular,2848221,Married,Student,9689,True
175,Aarush,Sane,Female,50,menonvarsha@example.org,+910324171467,Bilaspur,Assam,India,2026-03-13,Premium,1501944,Married,Manager,616,True
176,Lila,Goyal,Female,36,lakshmi52@example.com,+914774349021,Hapur,Uttar Pradesh,India,2026-03-05,Premium,2903927,Single,Accountant,9733,False
177,Odika,Karan,Female,55,ramomya@example.net,7937416089,Jamshedpur,Tripura,India,2025-05-22,Premium,2086319,Single,Lawyer,9912,False
178,Oscar,Ganesh,Male,21,reyanshdate@example.org,01632945116,Suryapet,Karnataka,India,2023-12-02,Regular,634118,Married,Doctor,8266,True
179,Zinal,Shanker,Male,33,virkoni@example.org,02299911914,Bulandshahr,Himachal Pradesh,India,2024-10-29,Regular,2043068,Single,Lawyer,6108,False
180,Vedika,Solanki,Female,44,geraanya@example.com,+919960653074,Jaipur,Karnataka,India,2024-02-23,Silver,2707715,Single,Lawyer,1079,False
181,Deepa,Mand,Male,53,ochaudhari@example.org,07546913736,Hazaribagh,West Bengal,India,2024-09-30,Regular,1391798,Married,Accountant,2463,False
182,Daksh,Varma,Male,55,dominicmukhopadhyay@example.net,6289023303,Sirsa,Arunachal Pradesh,India,2024-08-19,GOld,1667254,Married,Designer,2112,True
183,Rushil,Mahal,Female,53,ucchal86@example.net,+910357972798,Hapur,Goa,India,2023-10-08,Regular,2899006,Married,Teacher,8624,True
184,Gautam,Mane,Female,50,rajuchandran@example.org,3333468007,Malegaon,Punjab,India,2021-08-22,Silver,276464,Married,Student,2953,True
185,Udarsh,Krishnan,Female,67,anvi66@example.com,04374896910,Kishanganj,Rajasthan,India,2023-12-22,Regular,1005328,Single,Teacher,2538,True
